time_s,C_ppm
0.0,419.209847500037
1.0,418.4628828307097
2.0,421.593368081587
3.0,422.22201785245454
4.0,421.6508412425176
5.0,422.80585014790984
6.0,424.62216761226523
7.0,424.4411068447684
8.0,424.5518217014743
9.0,424.991190124944
10.0,423.89456164444965
11.0,426.17230996684714
12.0,424.00551534846727
13.0,425.76313664120323
14.0,426.0947943891256
15.0,425.2360824729011
16.0,427.282471664688
17.0,429.4602142468152
18.0,427.8963620918113
19.0,427.4444399625726
20.0,428.97240862759446
21.0,430.3247120179916
22.0,430.06727821752645
23.0,430.2706541583701
24.0,429.2593846882647
25.0,431.5609765888852
26.0,431.9331517966054
27.0,433.17229148887463
28.0,433.69986620083466
29.0,433.2754046011728
30.0,431.316672084728
31.0,431.89225868657024
32.0,432.5945696912744
33.0,434.3487382861863
34.0,433.6242377598139
35.0,436.0751331751407
36.0,435.3600389571905
37.0,435.8280508638328
38.0,436.5574376440974
39.0,436.4874041765197
40.0,435.07343068969874
41.0,439.2694166730978
42.0,438.61064791490895
43.0,438.9976739351549
44.0,437.05069631283743
45.0,436.27109464315856
46.0,436.92918301243327
47.0,437.6964233718942
48.0,439.9429698758613
49.0,440.2689997015872
50.0,441.1318599288606
51.0,442.1176710153563
52.0,440.7948802101317
53.0,440.92431334094334
54.0,440.4995850490592
55.0,440.81604678615093
56.0,440.28176309889534
57.0,442.2345281918038
58.0,442.32325271168384
59.0,441.8784374782232
60.0,441.7488326772472
61.0,443.28940797462775
62.0,444.4089381850665
63.0,443.4519080692795
64.0,443.9191478418393
65.0,443.3495447231455
66.0,443.90890742548476
67.0,444.0980688818
68.0,444.38407173796884
69.0,444.32395176775475
70.0,445.5671181885842
71.0,446.71751942153657
72.0,444.7152116846238
73.0,447.3037572292528
74.0,445.74130178118395
75.0,446.014583579747
76.0,444.4602127584727
77.0,444.4278708816239
78.0,447.815202476634
79.0,446.21667682469604
80.0,448.33886011349347
81.0,447.80772256378316
82.0,448.22889041911895
83.0,449.53084044895246
84.0,448.3421187504395
85.0,445.3631437756629
86.0,447.10327050247713
87.0,450.0250545769791
88.0,451.2575346916604
89.0,449.37126129113375
90.0,448.9693180168126
91.0,448.48157351394417
92.0,450.6201018685573
93.0,448.4744274903877
94.0,449.2227971350251
95.0,450.7988818614259
96.0,450.9572900595185
97.0,450.7870337957157
98.0,452.2978322565687
99.0,450.17775460058454
100.0,450.4151989734093
101.0,451.3706927611896
102.0,452.03539429675845
103.0,451.8118859922213
104.0,454.3199593653541
105.0,451.89923761597254
106.0,453.3125538861453
107.0,452.2631755835803
108.0,453.3409244795707
109.0,452.7462854414574
110.0,452.96341938689363
111.0,455.145712593365
112.0,453.34898152389707
113.0,455.56547478148804
114.0,453.2695213232474
115.0,453.69936569999084
116.0,455.4351347503385
117.0,452.0019902065967
118.0,452.9622082088186
119.0,454.80690736420325
120.0,455.417191965624
121.0,455.66301047615764
122.0,454.91245994052434
123.0,453.94008306462683
124.0,456.3652293285658
125.0,456.12110358090735
126.0,454.67594503744454
127.0,456.044578681091
128.0,457.91938247100535
129.0,456.3603039593323
130.0,455.1703545128195
131.0,456.0759526656258
132.0,456.26884920435026
133.0,457.119911719545
134.0,457.82142112357906
135.0,456.0878058529178
136.0,456.50384160197416
137.0,458.3253648632267
138.0,458.16849058293485
139.0,458.9190772404395
140.0,456.1841043331958
141.0,456.8179711722929
142.0,458.93187042214527
143.0,457.0656004812818
144.0,458.47964164539604
145.0,458.21275679373576
146.0,457.6256456617824
147.0,459.99066039239466
148.0,458.5996516095538
149.0,458.21198961190413
150.0,458.67743018107507
151.0,459.20318466548275
152.0,457.4584085974906
153.0,458.29077431655605
154.0,457.9745233676393
155.0,457.2431998335415
156.0,460.48383435044855
157.0,461.0532877234866
158.0,460.9075469433803
159.0,457.9982566328689
160.0,460.3072244777299
161.0,460.69307961118096
162.0,459.5210220439648
163.0,461.0307000965479
164.0,459.16147854422
165.0,459.30041677336305
166.0,459.6411856137344
167.0,459.8496449465229
168.0,459.65152012222813
169.0,461.7463481301944
170.0,459.7731368047327
171.0,460.4795058049046
172.0,460.3944138801616
173.0,463.36531355679847
174.0,460.3069300410055
175.0,461.78535566797103
176.0,463.2378936879083
177.0,460.277391601754
178.0,460.7199279338974
179.0,461.31233471890386
180.0,460.3878969415849
